,Hotels,Prices,Descriptions,Full_Descriptions
725,Sant Antoni 1 - Downtown Barcelona & Modern,"€ 1,895","2 beds (1 sofa bed, 1 large double)","In the Ciutat Vella district of Barcelona, close to Plaça Catalunya, Sant Antoni 1 - Downtown Barcelona & Modern has free WiFi and a washing machine. It is situated 1.5 km from Passeig de Gracia Metro Station and features a lift. The property is 1.5 km from Passeig de Gracia, and within 1 km of the city centre.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchen with a microwave and a coffee machine, and 1 bathroom with a shower and a hair dryer. Towels and bed linen are available in the apartment. The accommodation is non-smoking.

There is a supermarket and a restaurant close to the apartment.

Popular points of interest near Sant Antoni 1 - Downtown Barcelona & Modern include Boqueria Market, Magic Fountain of Montjuic and Tivoli Theatre. The nearest airport is Barcelona El Prat Airport, 12 km from the accommodation."
726,Lodging Apartments Monumumental FREE PARKING,"€ 2,749","2 beds (1 double, 1 sofa bed)","Located in Barcelona in the Catalonia region, with Sagrada Familia and Picasso Museum nearby, Lodging Apartments Monumumental FREE PARKING provides accommodation with free WiFi and free private parking. The property is set 2.5 km from Somorrostro Beach, 2.7 km from Bogatell Beach and 2.8 km from Barceloneta Beach. The property is non-smoking and is situated 2.4 km from Nova Icaria Beach.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchen with a dishwasher and a coffee machine, and 1 bathroom with a shower and a hair dryer. Towels and bed linen are featured in the apartment.

Popular points of interest near the apartment include Palau de la Musica Catalana, Tivoli Theatre and Portal de l'Angel. The nearest airport is Barcelona El Prat Airport, 14 km from Lodging Apartments Monumumental FREE PARKING."
727,Best Western Plus Hotel Alfa Aeropuerto,"€ 1,265","2 beds (1 single, 1 double)","Best Western Alfa Aeropuerto offers free airport shuttle service (please check the schedules), a heated pool and free Wi-Fi. It is under 15 minutes’ drive from El Prat Airport and 12 minutes from the Barcelona Fira Trade Fair.

Air-conditioned rooms at the Alfa Aeropuerto feature satellite TV( between 43"" to 50"") with Chromecast technology, minibar and safety deposit box.

The hotel restaurant, Gran Mercat, serves a range of cuisine and also offers an à la carte option. Guests can make use of the hotel lounge, bar and terrace. The fitness centre is equipped with treadmills, air bikes and Crossfit equipment.

The Alfa Aeropuerto is situated in Barcelona's largest industrial estate, next to Mercabarna wholesale market. It is a 30-minute bus ride from Barcelona’s Ramblas. There is a bus stop outside the hotel, and on-site parking is available."
728,AB Poble Sec Apartment,"€ 3,640","4 beds (2 singles, 1 double, 1 sofa bed)","AB Poble Sec Apartment has a terrace and is situated in Barcelona, within just 1.7 km of Palau Sant Jordi and 1.7 km of Boqueria Market. The property is set 2.6 km from Sants Railway Station, 2.9 km from Passeig de Gracia and 2.9 km from Plaça Catalunya. Free WiFi is available throughout the property and Magic Fountain of Montjuic is less than 1 km away.

The 2-bedroom apartment features a living room with a TV, a fully equipped kitchen with a microwave and a toaster, and 2 bathrooms with a hair dryer. Towels and bed linen are available in the apartment.

Montjuïc is 1.5 km from the apartment, while Portal de l'Angel is 3.6 km from the property. The nearest airport is Barcelona El Prat Airport, 12 km from AB Poble Sec Apartment."
729,Eixample1,"€ 3,047","2 beds (1 double, 1 sofa bed)","Right in the centre of Barcelona, set within a short distance of Passeig de Gracia and Passeig de Gracia Metro Station, Eixample1 offers free WiFi, air conditioning and household amenities such as a microwave and coffee machine. This sustainable apartment is located less than 1 km from Casa Batllo and a 14-minute walk from La Pedrera. The property is non-smoking and is situated 1.4 km from Palau de la Musica Catalana.

The 1-bedroom apartment has a living room with a flat-screen TV with satellite channels, a fully equipped kitchen with a dishwasher and an oven, and 1 bathroom with a hair dryer. Towels and bed linen are offered in the apartment. The property offers inner courtyard views.

Sightseeing tours are available within easy reach of the property.

Popular points of interest near the apartment include Tivoli Theatre, Portal de l'Angel and Cathedral of Barcelona. The nearest airport is Barcelona El Prat Airport, 14 km from Eixample1."
730,Izaila Plaza Catalunya,"€ 1,652",Beds: 1 double or 2 singles,"Izaila Plaza Catalunya features free WiFi, air conditioning and heating. Located in the centre of Barcelona, this hotel is 50 metres from Plaza Catalunya Square.

The bright rooms at Izaila Plaza Catalunya include a flat-screen TV and a wardrobe. The private bathroom comes with a shower, free toiletries and a hairdryer. Some rooms have a balcony with city views.

Guests have access to a shared lounge and a library. The hotel offers tourist information and free storage luggage.

The hotel is a 2 minute walk from Plaza Catalunya metro and train stations. The famous Sagrada Familia Cathedral is 2.5 km away. Passeig de Gracia, with its high end shops and Gaudi's La Pedrera and Casa Batlló, is within 5 minutes' walk from Izaila Plaza Catalunya.

Barcelona Airport is 20 minutes away by car. Buses run regularly between the airport and Plaza Catalunya Square."
731,Barcelona Apartment Republica,"€ 2,964",Beds: 1 double or 2 singles,"Located 150 metres from Llacuna Metro Station, Derby Republica offers modern loft-style apartments featuring exposed brick walls. Guests have access to a rooftop pool and sun terrace with views over Barcelona.

The air-conditioned apartments at Derby include a kitchen equipped with a microwave, hob, fridge and dishwasher. There is also a washing machine, and bedding and towels are provided.

The Republica has a concierge service that can help organise activities such as tours and water sports. Guests can also enjoy free entry to the Barcelona Egyptian Museum.

Glories Shopping Centre is a 10-minute walk away from Derby Republica. The beach and Poble Nou Park are also just 15 minutes’ walk away."
732,Eixample13,"€ 4,218","6 beds (4 singles, 1 double, 1 sofa bed)","Right in the centre of Barcelona, set within a short distance of Passeig de Gracia and Passeig de Gracia Metro Station, Eixample13 offers free WiFi, air conditioning and household amenities such as a microwave and coffee machine. The property has city views and is 1.3 km from Casa Batllo and 1.2 km from Boqueria Market. The property is non-smoking and is situated less than 1 km from Plaça Catalunya.

The spacious apartment has 3 separate bedrooms, 1 bathroom, a fully equipped kitchen with a dining area and oven, and a living room with a flat-screen TV. Towels and bed linen are offered in the apartment. The property offers quiet street views.

Popular points of interest near the apartment include Tivoli Theatre, Palau de la Musica Catalana and Portal de l'Angel. The nearest airport is Barcelona El Prat Airport, 12 km from Eixample13."
733,The Corner Apartments by Aspasios,"€ 3,432","5 beds (4 singles, 1 double)","These stylish, spacious apartments are set in the Eixample district, 400 metres from Passeig de Gracia with its famous Gaudí monuments. They feature free Wi-Fi and fantastic city views.

Air-conditioned Aragó 312 Apartments feature modern decor. Lounges have a sofa and plasma TV, while kitchens include a dishwasher, microwave and hob. Some of the apartments have balconies with views of the Sagrada Familia and Tibidabo Mountain.

You can walk to Gaudí’s Sagrada Familia and Monumental Bullring in 15 minutes, while Plaza Catalunya is just 10 minutes’ walk away. Girona Metro Station is 3 minutes’ walk away, 4 stops from Barceloneta and its beach.

The Aragó 312 Apartments are 15 minutes’ walk from nord Bus Station and 5 minutes’ walk from Passeig de Gracia Train and Metro Station, connecting you with Barcelona El Prat Airport and Girona.

Private parking is available nearby and guests receive discounts on tariffs of 3 days."
734,Primero Primera,"€ 2,095",Multiple bed types,"Offering stylish rooms with free, high-speed Wi-Fi and iPod docking stations, Primero Primera is located in the Sarrià district. 5 minutes’ walk from Les Tres Torres FGC Station, this boutique hotel is set in gardens.

Each air-conditioned room at the Primero Primera has contemporary décor. All rooms have tea and coffee making facilities, a flat-screen TV and minibar.

A buffet breakfast is served in the Primero’s restaurant ""Planta Baja"" or on the charming terrace. The Sarrià district features a range of cafés, bars and restaurants.

Barcelona’s Gothic Quarter, Plaza de Catalunya and Las Ramblas can be reached in 15 minutes by train. FC Barcelona’s Camp Nou Stadium is 2.5 km away."
735,Rooms Calabria,"€ 1,090",Managed by a private host,"Rooms Calabria is set in the Eixample district of Barcelona, 1.5 km from Sants Railway Station, 1.7 km from Passeig de Gracia and 1.7 km from Passeig de Gracia Metro Station. The air-conditioned accommodation is 1.3 km from Magic Fountain of Montjuic. Tivoli Theatre is 1.9 km away and La Pedrera is 2.8 km from the bed and breakfast.

The units in the bed and breakfast are fitted with a kettle. With a shared bathroom equipped with a shower and a hair dryer, units at the bed and breakfast also have free WiFi, while selected rooms here will provide you with a balcony. At the bed and breakfast, the units are fitted with bed linen and towels.

Dining options are available close to the bed and breakfast.

Popular points of interest near Rooms Calabria include Casa Batllo, Plaça Catalunya and Boqueria Market. The nearest airport is Barcelona El Prat Airport, 11 km from the accommodation."
736,Casa Boutique Barcelona,"€ 2,318",1 double bed,"Situated in the heart of modernist Barcelona, this modern house is just a short walk from Gaudi’s La Pedrera and Casa Batlló monuments.

Housed in a modernist-style building, the Casa Boutique Barcelona is located in the city centre, in the Eixample neighbourhood. Stroll to nearby Passeig de Gracia, a wide continental-style avenue where you will find numerous designer shops, eateries and spectacular architecture. The house is also ideally placed so you can enjoy the lively nightlife of the nearby Gothic Quarter and El Borne area.

Located in the heart of the city, you can walk to Plaça Catalunya in 3 minutes from the hotel. It also enjoys excellent transport connections to the rest of the city, by metro or bus."
737,By Born Rooms,€ 831,2 single beds,"Situated in Barcelona, within 1.7 km of Sant Miquel Beach and 1.8 km of Barceloneta Beach, By Born Rooms features accommodation with free WiFi throughout the property. This property is set a short distance from attractions such as Picasso Museum, Palau de la Musica Catalana, and Tivoli Theatre. The property is 700 metres from the city centre and 1.7 km from Somorrostro Beach.

The rooms have bed linen.

Popular points of interest near the hostel include Cathedral of Barcelona, Santa Maria del Mar and Plaça Reial. The nearest airport is Barcelona El Prat Airport, 12 km from By Born Rooms."
738,Sant Antoni 3 - Downtown Barcelona & Modern,"€ 1,895","2 beds (1 sofa bed, 1 large double)","In the centre of Barcelona, located within a short distance of Passeig de Gracia and Plaça Catalunya, Sant Antoni 3 - Downtown Barcelona & Modern offers free WiFi, air conditioning and household amenities such as a microwave and coffee machine. It is set less than 1 km from Boqueria Market and provides a lift. The property is non-smoking and is situated 1.5 km from Passeig de Gracia Metro Station.

The apartment is equipped with 1 bedroom, 1 bathroom, bed linen, towels, a TV with satellite channels, a dining area, a fully equipped kitchen, and a balcony with city views.

Popular points of interest near the apartment include Magic Fountain of Montjuic, Tivoli Theatre and Palau de la Musica Catalana. The nearest airport is Barcelona El Prat Airport, 12 km from Sant Antoni 3 - Downtown Barcelona & Modern."
739,Vilana Hotel Boutique,"€ 1,196",2 single beds,"Enjoy the unique architecture of this elegant, contemporary hotel, located in the prestigious La Bonanova district of Barcelona, 20 minutes from Plaza Catalunya by public transport.

The design of Vilana Hotel features floor-to-ceiling windows, skylights, and impressive design touches.

Rooms feature air conditioning, a flat-screen TV, minibar and a private bathroom.

On site you will find a fitness centre, restaurant, and bar. Guests can also enjoy a buffet breakfast.

The hotel is surrounded by one of the city centre’s most upmarket areas, full of chic boutiques and stylish architecture."
740,La Pedrera,"€ 2,226","2 beds (1 sofa bed, 1 large double)","Right in the heart of Barcelona, situated within a short distance of La Pedrera and Casa Batllo, La Pedrera offers free WiFi, air conditioning and household amenities such as a microwave and coffee machine. This recently renovated apartment is located 1 km from Passeig de Gracia and less than 1 km from Passeig de Gracia Metro Station. The property is non-smoking and is set 1.8 km from Palau de la Musica Catalana.

The spacious apartment has 1 bedroom, a flat-screen TV with streaming services, a fully equipped kitchen with a dishwasher and an oven, a washing machine, and 1 bathroom with a walk-in shower. Towels and bed linen are available in the apartment. The property offers inner courtyard views.

Popular points of interest near the apartment include Plaça Catalunya, Tivoli Theatre and Portal de l'Angel. The nearest airport is Barcelona El Prat Airport, 13 km from La Pedrera."
741,NEW! Apartment in Sarria near Metro,"€ 1,480",1 extra-large double bed,"Located in Barcelona, 2.6 km from Camp Nou and 3.2 km from Sants Railway Station, NEW! Apartment in Sarria near Metro offers air conditioning. The property is around 3.9 km from La Pedrera, 4.1 km from Casa Batllo and 4.2 km from Magic Fountain of Montjuic. The property provides a 24-hour front desk and free WiFi is available throughout the property.

The apartment features 1 bedroom, a TV with satellite channels, a fully equipped kitchen with a microwave and a toaster, a washing machine, and 1 bathroom with a shower. Towels and bed linen are provided in the apartment. The accommodation is non-smoking.

Passeig de Gracia is 4.5 km from the apartment, while Park Güell is 4.5 km away. The nearest airport is Barcelona El Prat Airport, 13 km from NEW! Apartment in Sarria near Metro."
742,Barcelona - Eixample 2B,"€ 3,366",Managed by a private host,"Situated in Barcelona, 1.3 km from Passeig de Gracia Metro Station and 1.4 km from Casa Batllo, Barcelona - Eixample 2B offers air conditioning. It is set 1.3 km from Plaça Catalunya and features a lift. Free WiFi is available throughout the property and Passeig de Gracia is 1.2 km away.

The spacious apartment has a balcony, 2 bedrooms, a living room and a well-equipped kitchen with an oven and a microwave. Towels and bed linen are offered in the apartment. The accommodation is non-smoking.

Popular points of interest near the apartment include Boqueria Market, Magic Fountain of Montjuic and Tivoli Theatre. The nearest airport is Barcelona El Prat Airport, 12 km from Barcelona - Eixample 2B."
743,H La Paloma Adults Only,"€ 1,199",1 extra-large double bed,"The H La Paloma is located in the Raval neighborhood, just 200 meters from the Sant Antoni market.
 The rooms at H La Paloma feature modern and elegant decoration.
They feature a king-size bed, free Wi-Fi, Smart TV and a private bathroom with a hairdryer and free toiletries. It also has private parking and 24-hour room service.
The H La Paloma has the ideal location to visit the major centers of interest on foot, being 600 meters from the MACBA Museum of Modern Art and just a 5-minute walk from Paseo de Gracia, Plaza de Catalunya and Las Ramblas.
The Sant Antoni and Universidad metro stations are just a few meters away."
744,Modern and bright apartment in Eixample 3-1,"€ 2,294","3 beds (2 singles, 1 double)","Modern and bright apartment in Eixample 3-1 has a patio and is situated in Barcelona, within just 1.2 km of Magic Fountain of Montjuic and 2 km of Casa Batllo. It is set 2.6 km from Passeig de Gracia and features a lift. Free WiFi is available throughout the property and Sants Railway Station is 1.1 km away.

The spacious apartment features 2 bedrooms, a TV and a fully equipped kitchen that provides guests with an oven, a microwave, a washing machine, a fridge and a stovetop. For added privacy, the accommodation features a private entrance.

Plaça Catalunya is 2.6 km from the apartment, while Passeig de Gracia Metro Station is 2.7 km from the property. The nearest airport is Barcelona El Prat Airport, 11 km from Modern and bright apartment in Eixample 3-1."
745,Gracia14,"€ 3,202",4 single beds,"Set in Barcelona, 800 metres from La Pedrera and 1.3 km from Casa Batllo, Gracia14 offers air-conditioned accommodation with a terrace and free WiFi. Guests staying at this apartment have access to a balcony. The property is non-smoking and is situated 1.6 km from Passeig de Gracia.

The spacious apartment has 2 separate bedrooms, 1 bathroom, a fully equipped kitchen with a dining area and oven, and a living room with a TV. Towels and bed linen are offered in the apartment.

Popular points of interest near the apartment include Passeig de Gracia Metro Station, Tivoli Theatre and Plaça Catalunya. The nearest airport is Barcelona El Prat Airport, 14 km from Gracia14."
746,Sants Estacio - Modern and comfy 4BD for 8 guests,"€ 3,520","5 beds (2 singles, 3 doubles)","Situated in Barcelona, 300 metres from Sants Railway Station and 1.5 km from Magic Fountain of Montjuic, Sants Estacio - Modern and comfy 4BD for 8 guests features air-conditioned accommodation with a patio and free WiFi. It is set 3.1 km from La Pedrera and provides a lift. The property is non-smoking and is located 2.8 km from Casa Batllo.

The spacious apartment features 4 bedrooms, a TV and a fully equipped kitchen that provides guests with an oven, a microwave, a washing machine, a fridge and a stovetop. For added privacy, the accommodation features a private entrance.

Passeig de Gracia is 3.2 km from the apartment, while Plaça Catalunya is 3.2 km from the property. The nearest airport is Barcelona El Prat Airport, 11 km from Sants Estacio - Modern and comfy 4BD for 8 guests."
747,Gracia12,"€ 3,045","5 beds (4 singles, 1 sofa bed)","Gracia12 has a balcony and is set in Barcelona, within just 1.3 km of Casa Batllo and 1.6 km of Passeig de Gracia. The property is around 2.3 km from Palau de la Musica Catalana, 2.4 km from Portal de l'Angel and 1.9 km from Sagrada Familia. Free WiFi is available throughout the property and La Pedrera is 800 metres away.

The air-conditioned apartment consists of 2 bedrooms, a living room, a fully equipped kitchen with an oven and a coffee machine, and 1 bathroom with a shower and a hair dryer. Towels and bed linen are offered in the apartment. The accommodation is non-smoking.

Popular points of interest near the apartment include Passeig de Gracia Metro Station, Tivoli Theatre and Plaça Catalunya. The nearest airport is Barcelona El Prat Airport, 14 km from Gracia12."
748,Gracia8,"€ 3,094","4 beds (2 singles, 1 double, 1 sofa bed)","Set in Barcelona, 800 metres from La Pedrera and 1.3 km from Casa Batllo, Gracia8 offers air-conditioned accommodation with a balcony and free WiFi. The property is located 2.4 km from Palau de la Musica Catalana, 2.5 km from Portal de l'Angel and 1.9 km from Sagrada Familia. The property is non-smoking and is situated 1.6 km from Passeig de Gracia.

The spacious apartment comes with 2 bedrooms, 1 bathroom, bed linen, towels, a flat-screen TV, a dining area, a fully equipped kitchen, and a terrace with quiet street views. The property has an outdoor dining area.

Popular points of interest near the apartment include Passeig de Gracia Metro Station, Tivoli Theatre and Plaça Catalunya. The nearest airport is Barcelona El Prat Airport, 14 km from Gracia8."
749,Centric 2 Bedroom Apartment with a Private Lovely Terrace,"€ 3,382",2 extra-large double beds,"Situated in Barcelona, 1.9 km from Santa Maria del Mar and 1.8 km from Plaça Catalunya, Centric 2 Bedroom Apartment with a Private Lovely Terrace offers air conditioning. The property is close to several well-known attractions, 1.7 km from Portal de l'Angel, 1.6 km from Cathedral of Barcelona and 1.3 km from Plaça Reial. Free WiFi is available throughout the property and Magic Fountain of Montjuic is 1.5 km away.

The spacious apartment has 2 bedrooms, a TV, a fully equipped kitchen with an oven and a microwave, a washing machine, and 2 bathrooms with a shower. Towels and bed linen are available in the apartment. The accommodation is non-smoking.

Popular points of interest near the apartment include Boqueria Market, Montjuïc and Palau de la Musica Catalana. The nearest airport is Barcelona El Prat Airport, 12 km from Centric 2 Bedroom Apartment with a Private Lovely Terrace."
750,Habitaciones Rambla Catalunya,€ 790,Managed by a private host,"Habitaciones Rambla Catalunya features air-conditioned guest accommodation in Barcelona, 700 metres from Passeig de Gracia, 700 metres from Passeig de Gracia Metro Station and 500 metres from La Pedrera. It is set less than 1 km from Plaça Catalunya and offers a lift. The property is 300 metres from Casa Batllo, and within less than 1 km of the city centre.

The units in the bed and breakfast are equipped with a kettle. Featuring a shared bathroom with a a bath or shower and a hair dryer, units at the bed and breakfast also provide guests with free WiFi, while certain rooms here will provide you with a balcony. At the bed and breakfast, the units are equipped with bed linen and towels.

Popular points of interest near the bed and breakfast include Palau de la Musica Catalana, Tivoli Theatre and Boqueria Market. The nearest airport is Barcelona El Prat Airport, 13 km from Habitaciones Rambla Catalunya."
751,Aspasios Diagonal Art,"€ 2,502","2 beds (1 double, 1 sofa bed)","Located 10 minutes’ walk from La Pedrera, Aspasios Diagonal Art offers 1-bedroom apartment with free WiFi. It is in the Gràcia District, within a short walk of Güell Park.

This air-conditioned apartment offers 1 double bed, and a bathroom with shower and free toiletries. The kitchen is equipped with a dishwasher, ceramic hobs, and kitchenware; while the living room has a sofa bed and a flat-screen TV. There is a washing machine and cleaning products are provided.

Fresh produces can be found at the market located 700 metres away; and trendy bars, restaurants and shops are on the many surrounding public squares.

Aspasios Diagonal Art is a-13 minute walk from Gaudi’s Sagrada Familia; and only 800 metres from fashionable Passeig de Gracia. A 10-minute metro ride will take you to Plaza Catalunya and Ramblas.

The pictures at the top of this page are a selection of the different apartments located in the Gracia area. Please select a date and click on the apartments to see the pictures of the individual apartments."
752,Grand Central Apartment,"€ 4,039",Managed by a private host,"In the Eixample district of Barcelona, close to Casa Batllo, Grand Central Apartment has free WiFi and a washing machine. With city views, this accommodation features a balcony. The property is non-smoking and is situated 2.5 km from Somorrostro Beach.

The air-conditioned apartment consists of 5 bedrooms, a living room, a fully equipped kitchen with a dishwasher and a coffee machine, and 2 bathrooms with a bidet and a hair dryer. For added convenience, the property can provide towels and linens for a supplement. Laundry service is also available.

Popular points of interest near the apartment include La Pedrera, Sagrada Familia and Passeig de Gracia. The nearest airport is Barcelona El Prat Airport, 14 km from Grand Central Apartment."
753,Hotel Casa Gardenia,"€ 2,141",Beds: 1 double or 2 singles,"Attractively situated in the Ciutat Vella district of Barcelona, Hotel Casa Gardenia is situated 2.8 km from Sant Miquel Beach, 2.9 km from Barceloneta Beach and 600 metres from Boqueria Market. With a terrace, the 2-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. The property is 2.8 km from Sant Sebastian Beach, and within less than 1 km of the city centre.

All rooms are fitted with a flat-screen TV, and some rooms at the hotel have a balcony. At Hotel Casa Gardenia rooms have bed linen and towels.

The accommodation offers a buffet or continental breakfast.

Speaking English, Spanish, French and Italian, staff are willing to help at the 24-hour front desk.

Popular points of interest near Hotel Casa Gardenia include Passeig de Gracia, Plaça Catalunya and Passeig de Gracia Metro Station. The nearest airport is Barcelona El Prat Airport, 12 km from the hotel."
754,Chic Gran Via Apartment,"€ 2,407","4 beds (3 singles, 1 double)","Located in Barcelona, 2.4 km from Somorrostro Beach and 2.7 km from Bogatell Beach, Chic Gran Via Apartment offers air conditioning. This property is set a short distance from attractions such as Picasso Museum, Passeig de Gracia, and Palau de la Musica Catalana. Free WiFi is available throughout the property and Nova Icaria Beach is 2.4 km away.

The spacious apartment is equipped with 4 bedrooms, 2 bathrooms, bed linen, towels, a TV, a fully equipped kitchen, and a balcony with city views. The accommodation is non-smoking.

Popular points of interest near the apartment include Sagrada Familia, Casa Batllo and La Pedrera. The nearest airport is Barcelona El Prat Airport, 15 km from Chic Gran Via Apartment."
755,2 bedroom with balcony in Eixample 1-1,"€ 2,329","4 beds (2 singles, 1 double, 1 sofa bed)","2 bedroom with balcony in Eixample 1-1 is situated in the Eixample district of Barcelona, 2 km from Casa Batllo, 2.6 km from Passeig de Gracia and 2.6 km from Plaça Catalunya. It is set 1.2 km from Magic Fountain of Montjuic and offers a lift. Free WiFi is available throughout the property and Sants Railway Station is 1.1 km away.

The spacious apartment is fitted with 2 bedrooms, a TV and a fully equipped kitchen that provides guests with an oven, a microwave, a washing machine, a fridge and a stovetop. For added privacy, the accommodation features a private entrance.

Passeig de Gracia Metro Station is 2.7 km from the apartment, while La Pedrera is 2.8 km away. The nearest airport is Barcelona El Prat Airport, 11 km from 2 bedroom with balcony in Eixample 1-1."
756,Paseo de Gracia Design,"€ 3,342","4 beds (2 singles, 1 double, 1 sofa bed)","In the centre of Barcelona, located within a short distance of Tivoli Theatre and Passeig de Gracia Metro Station, Paseo de Gracia Design offers free WiFi, air conditioning and household amenities such as a toaster and coffee machine. It is set 2.7 km from Sant Miquel Beach and offers a lift. The accommodation provides airport transfers, while a bicycle rental service is also available.

Featuring a DVD player, the spacious apartment has a fully equipped kitchen with a dishwasher, an oven and a microwave, a living room with a seating area and a dining area, 2 bedrooms, and 2 bathrooms with a bidet and a bath. Towels and bed linen are provided in the apartment. This apartment is non-smoking and soundproof.

Guests at the apartment will be able to enjoy activities in and around Barcelona, like cycling.

Popular points of interest near Paseo de Gracia Design include Passeig de Gracia, Casa Batllo and Palau de la Musica Catalana. The nearest airport is Barcelona El Prat Airport, 13 km from the accommodation."
757,Homenfun Barcelona Plaza España,"€ 1,334","2 beds (1 double, 1 sofa bed)","Located in Barcelona, 1.1 km from Magic Fountain of Montjuic and 800 metres from Sants Railway Station, Homenfun Barcelona Plaza España provides air-conditioned accommodation with a balcony and free WiFi. The property is around 3 km from Palau Sant Jordi, 3 km from Passeig de Gracia Metro Station and 3.4 km from Plaça Catalunya. The property is non-smoking and is set 2.9 km from Passeig de Gracia.

The apartment with a terrace and city views features 1 bedroom, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 1 bathroom with a bath. Towels and bed linen are provided in the apartment.

Casa Batllo is 3.4 km from the apartment, while Boqueria Market is 3.7 km away. The nearest airport is Barcelona El Prat Airport, 11 km from Homenfun Barcelona Plaza España."
758,Valencia habitaciones,€ 790,1 double bed,"Well set in the Eixample district of Barcelona, Valencia habitaciones is located less than 1 km from Sants Railway Station, a 16-minute walk from Magic Fountain of Montjuic and 2.1 km from Casa Batllo. The property is situated 2.4 km from Passeig de Gracia, 2.5 km from Plaça Catalunya and 2.5 km from Passeig de Gracia Metro Station. The accommodation provides a lift and a shared kitchen for guests.

The units in the bed and breakfast are fitted with a kettle. With a shared bathroom equipped with a shower and a hair dryer, units at the bed and breakfast also provide guests with free WiFi. At the bed and breakfast, all units are fitted with bed linen and towels.

La Pedrera is 2.7 km from the bed and breakfast, while Boqueria Market is 2.9 km away. The nearest airport is Barcelona El Prat Airport, 11 km from Valencia habitaciones."
759,Hotel Serhs Rivoli Rambla,"€ 1,424",Beds: 1 double or 2 singles,"Situated on the famous Ramblas, Hotel Serhs Rivoli Rambla has a beautiful interior courtyard and a terrace from where you can enjoy views over the Gothic Quarter while you sip an espresso.

 Return here for lunch and enjoy views over the urban gardens which date back to the Romantic era.

The Hotel Serhs Rivoli Rambla is a celebration of the Art Deco style which has become a signature of this Catalan city. Enjoy theatrical interiors which combine classic style with avant garde features such as clever lighting and contemporary furniture. Sit in the interior patio of the Rivoli Ramblas where you can enjoy the cool surroundings and murals painted on the walls.

The 128 Rambla Restaurant serves a wide selection of Mediterranean and international cuisine. The varied and appealing buffet breakfast is a great way to help prepare you for the day ahead."
760,Paseo de Gracia Bas Apartments by Aspasios,"€ 2,901","2 beds (1 extra-large double, 1 sofa bed)","Paseo de Gracia Bas Apartments by Aspasios is centrally located, just an 8-minute walk from Plaza Catalunya and Las Ramblas. It features air-conditioned apartments with free Wi-Fi and smart TV with internet connection.

Fitted with wooden flooring, each apartment boasts a modern and functional décor. Apartments have a pleasant lounge area with a sofa and floor-to-ceiling windows. Kitchens include a dishwasher, microwave and coffee machine. There is also a Smart TV with keyboard and internet access. The bathroom includes a hydro-massage shower.

Paseo de Gracia Bas Apartments are surrounded by a wide range of bars, traditional Spanish restaurants, as well as shops and supermarkets. Las Ramblas, Plaza Catalunya Square, and the Gothic Quarter are all approximately a 10-minute walk away.

The apartments are just 3 minutes’ walk from the fashionable Paseo de Gracia Avenue. Gaudí's masterpiece Casa Batlló is 450 metres away. You can go to the beach by car or by public transport in less than 10 minutes from the apartments.

Regular airport buses to Barcelona El Prat Airport leave from a bus stop located in Plaza Catalunya. You can also catch a train to the airport from nearby Passeig de Gràcia Train Station."
761,Lodging Apartments Gracia 2,"€ 2,604","3 beds (2 singles, 1 double)","Situated in Barcelona, less than 1 km from La Pedrera and a 17-minute walk from Casa Batllo, Lodging Apartments Gracia 2 offers free WiFi and air conditioning. It is set 1.9 km from Passeig de Gracia and features a lift. The property is non-smoking and is located 1.4 km from Sagrada Familia.

The spacious apartment has 3 separate bedrooms, 1 bathroom, a fully equipped kitchen with a dining area and dishwasher, and a living room with a TV. The property offers inner courtyard views.

Popular points of interest near the apartment include Passeig de Gracia Metro Station, Tivoli Theatre and Park Güell. The nearest airport is Barcelona El Prat Airport, 14 km from Lodging Apartments Gracia 2."
762,Sagrada Familia Butterfly,"€ 2,994","5 beds (2 singles, 1 double, 1 bunk bed, 1 sofa bed)","Boasting air-conditioned accommodation with a balcony, Sagrada Familia Butterfly is set in Barcelona. It is situated 2.3 km from La Pedrera and offers a lift. The property is non-smoking and is located less than 1 km from Sagrada Familia.

The 3-bedroom apartment is fitted with a living room with a flat-screen TV, a fully equipped kitchen with an oven and a microwave, and 2 bathrooms with a hair dryer. Towels and bed linen are offered in the apartment.

Casa Batllo is 2.8 km from the apartment, while Passeig de Gracia is 3.2 km from the property. The nearest airport is Barcelona El Prat Airport, 16 km from Sagrada Familia Butterfly."
